,datetime,latitude,longitude,altitude,speed,course,address,attributes
426,2020-10-22 21:25:38,37.4937116,126.8948334,48.89999771118164,1.8392892018435,2.146592378616333,,"{""batteryLevel"":72.0,""distance"":24.94,""totalDistance"":6.880324806E7,""motion"":true}"
429,2020-10-22 21:26:40,37.4932383,126.8954178,44.29999923706055,0.28053411049014326,37.83250045776367,,"{""batteryLevel"":71.0,""distance"":24.75,""totalDistance"":6.880337323E7,""motion"":true}"
461,2020-10-22 21:40:05,37.4760707,126.8682943,41.79999923706055,3.736532409948349,282.1712951660156,,"{""batteryLevel"":68.0,""distance"":8.56,""totalDistance"":6.880802235E7,""motion"":true}"
464,2020-10-22 21:41:27,37.4762033,126.8686004,41.39999771118164,0.6792676968011856,246.9322967529297,,"{""batteryLevel"":67.0,""distance"":10.9,""totalDistance"":6.880808657E7,""motion"":true}"
471,2020-10-22 21:44:07,37.476138,126.8687808,62.29999923706055,0.6583155365960598,150.0460662841797,,"{""batteryLevel"":67.0,""distance"":3.62,""totalDistance"":6.880833352E7,""motion"":true}"
474,2020-10-22 21:45:27,37.4758376,126.8663745,40.599998474121094,0.4209941775628924,127.73753356933594,,"{""batteryLevel"":67.0,""distance"":157.01,""totalDistance"":6.88089056E7,""motion"":true}"
477,2020-10-22 21:46:29,37.4748669,126.8666894,38.39999771118164,2.5675247538785935,356.48284912109375,,"{""batteryLevel"":67.0,""distance"":94.11,""totalDistance"":6.880920772E7,""motion"":true}"
509,2020-10-22 22:00:02,37.473898,126.8668636,38.29999923706055,3.961821689423561,261.5610656738281,,"{""batteryLevel"":66.0,""distance"":6.59,""totalDistance"":6.880948842E7,""motion"":true}"
521,2020-10-22 22:05:07,37.4736999,126.8692745,36.39999771118164,0.8663859654550552,270.8244323730469,,"{""batteryLevel"":65.0,""distance"":7.58,""totalDistance"":6.880993705E7,""motion"":true}"
527,2020-10-22 22:07:28,37.4738006,126.8709257,38.099998474121094,2.8346252006106374,254.23899841308594,,"{""batteryLevel"":65.0,""distance"":18.65,""totalDistance"":6.881016876E7,""motion"":true}"
533,2020-10-22 22:09:48,37.4743008,126.8715145,59.5,1.0945356492233276,283.8282775878906,,"{""batteryLevel"":65.0,""distance"":31.45,""totalDistance"":6.881047546E7,""motion"":true}"
541,2020-10-22 22:13:31,37.4750365,126.8736395,39.89999771118164,1.8974667061557768,94.28550720214844,,"{""batteryLevel"":64.0,""distance"":12.92,""totalDistance"":6.881095475E7,""motion"":true}"
546,2020-10-22 22:15:58,37.4750299,126.8734828,39.89999771118164,0.008062517126793041,91.20769500732422,,"{""batteryLevel"":64.0,""distance"":0.29,""totalDistance"":6.881097042E7,""motion"":false}"
552,2020-10-22 22:18:14,37.4748282,126.8725405,39.89999771118164,0.3046043234024048,94.0,,"{""batteryLevel"":64.0,""distance"":87.91,""totalDistance"":6.881106214E7,""motion"":true}"
555,2020-10-22 22:19:56,37.4750237,126.8735522,41.099998474121094,0.9680255565304756,74.4905014038086,,"{""batteryLevel"":64.0,""distance"":66.66,""totalDistance"":6.881115497E7,""motion"":true}"
556,2020-10-22 22:20:19,37.4749256,126.8733952,39.89999771118164,2.5200743449759484,224.39170837402344,,"{""batteryLevel"":64.0,""distance"":17.65,""totalDistance"":6.881117262E7,""motion"":true}"
558,2020-10-22 22:21:01,37.4749148,126.8734081,39.89999771118164,2.6078475561990735,227.61276245117188,,"{""batteryLevel"":63.0,""distance"":18.66,""totalDistance"":6.881121004E7,""motion"":true}"
560,2020-10-22 22:22:03,37.4750278,126.8735141,39.89999771118164,1.9585876879091262,56.12303161621094,,"{""batteryLevel"":63.0,""distance"":1.22,""totalDistance"":6.881122802E7,""motion"":true}"
561,2020-10-22 22:22:24,37.4749933,126.8734265,39.89999771118164,1.3738143645572662,241.77528381347656,,"{""batteryLevel"":63.0,""distance"":8.64,""totalDistance"":6.881123666E7,""motion"":true}"
562,2020-10-22 22:22:45,37.4749933,126.8734265,39.89999771118164,1.3738143645572662,241.77528381347656,,"{""batteryLevel"":63.0,""distance"":0.0,""totalDistance"":6.881123666E7,""motion"":true}"
563,2020-10-22 22:23:07,37.4750324,126.8735426,41.099998474121094,0.3098938931365013,285.1946716308594,,"{""batteryLevel"":63.0,""distance"":11.14,""totalDistance"":6.88112478E7,""motion"":true}"
564,2020-10-22 22:23:27,37.4750324,126.8735426,41.099998474121094,0.3098938931365013,285.1946716308594,,"{""batteryLevel"":63.0,""distance"":0.0,""totalDistance"":6.88112478E7,""motion"":true}"
565,2020-10-22 22:23:49,37.474985,126.8733533,39.89999771118164,2.6569394997754094,251.5798797607422,,"{""batteryLevel"":63.0,""distance"":17.54,""totalDistance"":6.881126534E7,""motion"":true}"
566,2020-10-22 22:24:09,37.474985,126.8733533,39.89999771118164,2.6569394997754094,251.5798797607422,,"{""batteryLevel"":63.0,""distance"":0.0,""totalDistance"":6.881126534E7,""motion"":true}"
569,2020-10-22 22:25:32,37.475028,126.8735048,39.89999771118164,3.339332229977131,70.15521240234375,,"{""batteryLevel"":63.0,""distance"":5.8,""totalDistance"":6.881135874E7,""motion"":true}"
570,2020-10-22 22:26:14,37.4750339,126.8735001,39.89999771118164,4.040504126114845,91.46448516845703,,"{""batteryLevel"":63.0,""distance"":0.78,""totalDistance"":6.881135952E7,""motion"":true}"
571,2020-10-22 22:26:56,37.4750275,126.873519,39.89999771118164,1.168392659877777,326.26715087890625,,"{""batteryLevel"":63.0,""distance"":1.82,""totalDistance"":6.881136134E7,""motion"":true}"
577,2020-10-22 22:29:41,37.4749742,126.873384,38.19999694824219,1.9469400678677558,239.13365173339844,,"{""batteryLevel"":63.0,""distance"":13.51,""totalDistance"":6.881145044E7,""motion"":true}"
579,2020-10-22 22:30:21,37.4749938,126.8734178,39.89999771118164,1.178817586849451,235.03590393066406,,"{""batteryLevel"":63.0,""distance"":9.12,""totalDistance"":6.881147238E7,""motion"":true}"
581,2020-10-22 22:31:01,37.4750022,126.8734135,38.19999694824219,1.208227450901985,245.12106323242188,,"{""batteryLevel"":63.0,""distance"":8.76,""totalDistance"":6.881149E7,""motion"":true}"
592,2020-10-22 22:37:35,37.4750162,126.8734269,39.89999771118164,1.1880580552546978,250.31141662597656,,"{""batteryLevel"":63.0,""distance"":7.42,""totalDistance"":6.881162761E7,""motion"":true}"
595,2020-10-22 22:38:56,37.4748714,126.873137,38.19999694824219,0.9912596214079856,240.73092651367188,,"{""batteryLevel"":63.0,""distance"":37.19,""totalDistance"":6.8811672E7,""motion"":true}"
597,2020-10-22 22:39:36,37.4748963,126.8732798,38.19999694824219,4.0259156934614175,232.5318603515625,,"{""batteryLevel"":63.0,""distance"":24.73,""totalDistance"":6.881173357E7,""motion"":true}"
599,2020-10-22 22:40:16,37.4749542,126.8733085,41.099998474121094,3.361496655660152,242.7867431640625,,"{""batteryLevel"":63.0,""distance"":58.34,""totalDistance"":6.881184421E7,""motion"":true}"
605,2020-10-22 22:43:36,37.4750526,126.8734597,39.89999771118164,0.7530513087955713,302.66217041015625,,"{""batteryLevel"":62.0,""distance"":4.33,""totalDistance"":6.881195922E7,""motion"":true}"
608,2020-10-22 22:44:56,37.4750365,126.8735047,39.89999771118164,0.023998382011659443,35.89084243774414,,"{""batteryLevel"":62.0,""distance"":0.11,""totalDistance"":6.881201486E7,""motion"":true}"
610,2020-10-22 22:45:36,37.4750325,126.8735122,39.89999771118164,0.14165412771329283,86.09847259521484,,"{""batteryLevel"":62.0,""distance"":0.88,""totalDistance"":6.881201627E7,""motion"":true}"
612,2020-10-22 22:46:16,37.4750356,126.8735042,39.89999771118164,0.02650655456404388,183.57244873046875,,"{""batteryLevel"":62.0,""distance"":0.18,""totalDistance"":6.881201728E7,""motion"":true}"
614,2020-10-22 22:46:56,37.4750297,126.8735028,38.19999694824219,0.04608507144608348,160.9208526611328,,"{""batteryLevel"":62.0,""distance"":0.28,""totalDistance"":6.881201798E7,""motion"":true}"
616,2020-10-22 22:47:36,37.4750348,126.8735043,38.19999694824219,0.04356207940299064,180.17352294921875,,"{""batteryLevel"":62.0,""distance"":0.26,""totalDistance"":6.881201908E7,""motion"":true}"
620,2020-10-22 22:49:38,37.4750744,126.8734311,39.0,0.6817070001786947,100.0,,"{""batteryLevel"":62.0,""distance"":10.3,""totalDistance"":6.881203411E7,""motion"":true}"
624,2020-10-22 22:51:40,37.4750316,126.8733508,39.0,6.764319479696273,85.0,,"{""batteryLevel"":62.0,""distance"":14.78,""totalDistance"":6.881206017E7,""motion"":true}"
625,2020-10-22 22:52:16,37.4750432,126.8733852,39.0,0.3069530515589118,278.1830139160156,,"{""batteryLevel"":62.0,""distance"":3.3,""totalDistance"":6.881206347E7,""motion"":true}"
630,2020-10-22 22:55:00,37.4749387,126.8733662,39.0,2.560373974870205,236.78567504882812,,"{""batteryLevel"":62.0,""distance"":29.93,""totalDistance"":6.88122676E7,""motion"":true}"
634,2020-10-22 22:57:01,37.4750833,126.8734628,39.0,2.990011843966484,75.0,,"{""batteryLevel"":62.0,""distance"":51.71,""totalDistance"":6.881238913E7,""motion"":true}"
637,2020-10-22 22:58:22,37.4750218,126.8735739,39.89999771118164,0.8231883340061903,96.26223754882812,,"{""batteryLevel"":62.0,""distance"":4.68,""totalDistance"":6.881240621E7,""motion"":true}"
638,2020-10-22 22:58:42,37.4750218,126.8735739,39.89999771118164,0.8231883340061903,96.26223754882812,,"{""batteryLevel"":62.0,""distance"":0.0,""totalDistance"":6.881240621E7,""motion"":true}"
642,2020-10-22 23:47:42,37.4750227,126.8735266,39.0,0.0004538013331469265,232.90960693359375,,"{""batteryLevel"":60.0,""distance"":0.06,""totalDistance"":6.8812412E7,""motion"":false}"
647,2020-10-22 23:50:43,37.4750144,126.8735377,38.19999694824219,0.7328106579376459,156.38778686523438,,"{""batteryLevel"":60.0,""distance"":2.45,""totalDistance"":6.881242578E7,""motion"":true}"
649,2020-10-22 23:51:26,37.4750336,126.8735261,38.19999694824219,0.00018427739007171475,227.1245574951172,,"{""batteryLevel"":60.0,""distance"":0.23,""totalDistance"":6.881242846E7,""motion"":false}"
655,2020-10-22 23:54:02,37.4750315,126.873542,43.599998474121094,3.8864570807189938,61.14158248901367,,"{""batteryLevel"":59.0,""distance"":1.33,""totalDistance"":6.881243349E7,""motion"":true}"
665,2020-10-22 23:59:57,37.4748054,126.8734714,38.19999694824219,1.2566462354965209,10.492932319641113,,"{""batteryLevel"":58.0,""distance"":25.82,""totalDistance"":6.881256674E7,""motion"":true}"
668,2020-10-23 00:01:27,37.4750182,126.8735551,38.19999694824219,1.1564665072731972,123.55852508544922,,"{""batteryLevel"":58.0,""distance"":1.13,""totalDistance"":6.881259377E7,""motion"":true}"
670,2020-10-23 00:02:09,37.4749382,126.8735243,39.89999771118164,5.92088394862175,12.544971466064453,,"{""batteryLevel"":58.0,""distance"":10.36,""totalDistance"":6.881260534E7,""motion"":true}"
672,2020-10-23 00:02:52,37.4750239,126.8735538,38.19999694824219,2.334254659087658,14.771928787231445,,"{""batteryLevel"":58.0,""distance"":0.71,""totalDistance"":6.881261647E7,""motion"":true}"
690,2020-10-23 00:10:15,37.4750134,126.8735637,39.89999771118164,0.15371353625142573,210.162841796875,,"{""batteryLevel"":63.0,""distance"":1.07,""totalDistance"":6.881271499E7,""motion"":true}"
709,2020-10-23 00:19:07,37.4750204,126.8735658,39.89999771118164,1.936043118573904,13.705496788024902,,"{""batteryLevel"":74.0,""distance"":0.64,""totalDistance"":6.881279392E7,""motion"":true}"
714,2020-10-23 00:21:07,37.4750229,126.8735626,39.89999771118164,0.7307034733589888,22.576465606689453,,"{""batteryLevel"":77.0,""distance"":0.63,""totalDistance"":6.881279826E7,""motion"":true}"
718,2020-10-23 00:22:27,37.4750223,126.873563,43.69999694824219,0.7680920092778205,38.920555114746094,,"{""batteryLevel"":78.0,""distance"":0.49,""totalDistance"":6.881280048E7,""motion"":true}"
721,2020-10-23 00:23:28,37.474841,126.8735025,38.19999694824219,0.5687226526726484,75.0,,"{""batteryLevel"":79.0,""distance"":21.12,""totalDistance"":6.881282483E7,""motion"":true}"
723,2020-10-23 00:24:09,37.4750205,126.8735713,39.89999771118164,1.0683126889493464,23.59334373474121,,"{""batteryLevel"":80.0,""distance"":1.36,""totalDistance"":6.881284733E7,""motion"":true}"
726,2020-10-23 00:25:29,37.4750214,126.8735684,43.69999694824219,0.8205778443299532,49.28504180908203,,"{""batteryLevel"":81.0,""distance"":0.97,""totalDistance"":6.881284977E7,""motion"":true}"
728,2020-10-23 00:26:09,37.4750198,126.8735682,43.69999694824219,1.5222967835197447,23.264896392822266,,"{""batteryLevel"":82.0,""distance"":0.37,""totalDistance"":6.881285034E7,""motion"":true}"
735,2020-10-23 00:28:49,37.4750186,126.8735708,39.89999771118164,1.1830878015539645,14.408187866210938,,"{""batteryLevel"":84.0,""distance"":0.29,""totalDistance"":6.881285296E7,""motion"":true}"
744,2020-10-23 00:32:44,37.4750188,126.8735695,39.89999771118164,1.6891483323361873,338.10711669921875,,"{""batteryLevel"":87.0,""distance"":0.22,""totalDistance"":6.881285673E7,""motion"":true}"
746,2020-10-23 00:33:44,37.4750216,126.8735281,43.599998474121094,1.347325848278761,331.9884948730469,,"{""batteryLevel"":87.0,""distance"":3.8,""totalDistance"":6.881286066E7,""motion"":true}"
